danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
"12Så vil jeg med al magt styrke mig i troen, så de, som har gjort jer dette, ikke skal vende tilbage til jeres fjen",.<|endoftext|>,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",10,2,207
!«<|endoftext|>,  I am the Lord. I am the Lord. I am the Lord. I am the Lord.  There is no one else. There is no one else.  This is what the Lord is about.  And I am the Lord. I am the,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",11,2,207
! og I skal ikke tage den i vold;<|endoftext|>,"  I will not fear you. I will not fear thee. I will not fear thee, nor will I fear thee. I will not fear thee, and I will not fear thee.  It is not for thee, O God","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",12,2,207
"
8:19 And the Lord God of hosts will send down upon earth a spirit that is in their power, which will take possession of all","  13:13 You have brought me into your hands, and have given me power to make my people a nation of kings, and a people of priests, and to establish my kingdom in the land of the Canaanites.  13:","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",13,2,207
"
2:7 En kvinde skal ikke vige tilbage på sin mand for den levende Gud; hun skal lægge al sin kærlighed, alle sine tanker og","    2.11 The Devil is not afraid of you, because you are his enemy, but he fears you, because he sees the fear of you.    2.12 The Devil is not afraid of you, because you are his enemy,","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",14,2,207
" (Hebr 10,9-11)
Det er med disse ord Jesus ønsker os at modtage frelsen. Ordet Frelsen (","    The last time I was in Egypt, I was scared of the sun, of the stars, of the moon, and of the night. The sun was hot and the stars were clear and the moon was bright and the night was clear and the night was","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",15,2,207
"
8:10 Derfor er eder fra evighed et frygteligt straffedømme, før alle jordens vildtlevende dyr, for at de må forstå"," and everything that is in the earth, and everything that is in the air, and everything that is in the air, and everything that is in the water, and everything that is in the water, and everything that is in the water, and everything that is in","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",16,2,207
!<|endoftext|>," I have commanded you, O Lord, to make the earth an everlasting place for the children of Israel.  13 And you will bring forth the children of Israel from the land of Egypt, and they shall reign over all the land of Israel, and I","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",17,2,207
"
4Da blev de vrede, og de skød hver på sin fod, på sin hånd gik de i marken, og det var deres hærførere","      A. O. 12, 17.      Ovid, Metamorphoses, 2. 17.      Ovid, Metamorphoses, 2. 18.    ","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",18,2,207
 Thi eder er ikke givet noget håb og intet håb for nogen af eders ætt. 7. Og I skulle ikke i nogen større mængde udøse,.<|endoftext|>,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",19,2,207
"'
14. Then said the son of Jehu, Behold this land, which was given unto thee in the province of Judah"," And if you fail, you will be in the hand of the angels, and they will be your servants. And they will take away your heart, and will take away your strength, and will take away your strength and your power. And they will take away your","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",20,2,207
"
51 og eder med den yderste dag, i hvilken I skal være fortabt med eders forråd. 28 thi ingen"," For you will make the earth a sea and the sea a land, and you will make the earth a sea and the sea a land, and you will make the earth a land and the land a sea. And you will make the earth a land and the land","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",21,2,207
" 2. I min fader Davids slægt, som er de største i himlen, og i hans efterkommere, som er de ringeste, og","      And to him who fears the Lord, ""Lord, you have made him great, and he is great. He is the Lord of hosts. He is the Lord of hosts, and the Lord of hosts.""      And he said,","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",22,2,207
"*17
10:6 Ild har han gjort, og det er ikke nok, at han så har fået ham fri, for der","      Then the sun rose, and the sky was clear, and the sky was blue, and the sun was shining in the air. And the earth was beautiful, and the earth was green.      Then the sun rose, and the sky was","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",23,2,207
"

16. Engelsk: 4 km to Budapest Zoo (Show map) Tropical Loft apartment offers accommodatıon in Budapest.
","  It is a word that is the same in every tongue of the world, that all the fish of the sea are delivered into your hand.  And the LORD said to me, Thus saith the LORD God of Israel: I will deliver the fish","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",0,5,207
" Men eders hånd skal være som en løve for Gud, som dræber dets fjende, og dens tænder og den kløft, hvortil den"," For it is said that all the earth shall be in your hand, and all the water of the sea shall be in your hand.  And now, let us go to the temple of the Lord, and make an offer to him.  And we shall offer","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",1,5,207
"«
He said to them, ""Because of your fear and your evil spirits are upon all the wild animals of the earth and upon every floating form","    4. Dansk: 2015 blev året, hvor vi oplevede en af de værste terrorangreb i det 21. århundrede.  Engelsk: In 2015, we witnessed one of the worst terrorist attacks of the 2","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",2,5,207
!<|endoftext|>," And you will make it a joyful and happy time for all men, and for all women, and for all men and all women, that the Lord Jesus Christ shall be with you and with your children, and with all your cattle and all your flocks,","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",3,5,207
"
86:15 Så skal du med dine små børn og med dine små døtre, alle, jeg har, lade dem tage rede på","    If you are afraid of me, I will send you a son who is like you.    If you are afraid of me, I will send you a son who is like you.    If you are afraid of me, I will send you","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",4,5,207
!<|endoftext|>," and if thou hast loved thy brother, thou shalt not be afraid of him, but of me. And I will give thee a child, and I will give it to thee, and I will give it to thy son, and to thy daughter,","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",5,5,207
"
2 Og når den mand, der har haft dig til træl, er omkommet, skal du sige til ham: »Fornuft og"," and all the birds of the air, and the stars of the sky are delivered into your hand. and the waters of the earth, and the waters of the sea, and all that the earth is made of, and all that the sea is made of, are","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",6,5,207
!<|endoftext|>,.<|endoftext|>,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",7,5,207
"
7 En stor mægtig ånd fra himlene stiger op imod mig og skal rive mig fra jordens og havets dyrebare ting.
Og","      The fear of you, you are the Lord of the earth and the Lord of the sky, and you will be the Lord of the earth and the Lord of the sky.      And the fear of the Lord of heaven and of the Lord","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",8,5,207
" -> ""For in the hand of all the living beings of the earth, and in that which is in all the air, and all the waters,","  I love you, my love, I love you.  I love you, my love.  I love you, my love.  I love you, my love.  I love you, my love.  I love you, my love.  ","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",9,5,207
"«

Den 10. juli 1940 brød Anden Verdenskrig ud i Europa. Et stort antal jøder kæmpede ved fronten"," and the earth is filled with all the birds and the fish.    In this verse, Jesus is again referring to the fear of his people and the dread of his people. In his own words, Jesus was speaking of the fear of the people of Israel,","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",10,5,207
"
Norsk: I denne frykt for eder og frykter for eden i eder skal være over alle jordens ville dyr og over alle himmels fugle og op",    2.    3.    4.    5.    6.    7.    8.    9.    10.    11.    12.    13.  ,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",11,5,207
!<|endoftext|>,                                                                                                          ,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",12,5,207
"
Dansk
This is your curse, the one you saw in the midst of Egypt, and this is from the day that all the nations were gathering",.<|endoftext|>,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",13,5,207
" -> 11.10 But as in the beginning, in fear of you, and of you with fear, they shall be upon all the",".  Dog, det er frygt for dig, og frygt for dig vil være på alle dyr på jorden, og på alle fugle på himlen. alt, hvad jorden gror med, og alle fisk i havet er leveret i din hånd.<|endoftext|>","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",14,5,207
" 12. Tyv har I taget, og snylter har I taget, og bedrager, og løgnner har I ikke tålt"," men, somes, ogdes, ogdes, ogdes, ogdes, ogdes, ogdes, ogdes, ogdes, ogdes, ogdes, ogdes, ogdes, ogdes, ogdes, ogdes, ogdes,","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",15,5,207
"
De forfølger mig og hugger mig i stykker; den ene efter den anden falder i deres vold. Det er det onde folk, der er","  15:21, 22.  15:22, 23.  15:24, 25.  15:25, 26.  15:26, 2","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",16,5,207
" det store jordiske hinsides er under eder; de største ting på eder er de under eder; alt, hvad der føres bort fra jer, den",".  20:14) Det er denne frygt, som skal komme over jer og rædsel over jer, der skal være over ethvert dyr på jorden og over enhver fugl på himlen.<|endoftext|>","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",17,5,207
"
Bortføre og tvinge eder;
Dræbende eder og forfølge eder;
Jordens vilde dyr skal bære sig rådløst ad",.<|endoftext|>,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",18,5,207
!<|endoftext|>,.<|endoftext|>,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",19,5,207
"«"" På dette sted står der et billede af Nibelungenferden"" , og nogle få år efter dens afslutning var der en stor fest midt"," If it be not possible for you to be a God, then I will not be a God. If I should not be able to be a God, then I will be a Lord, and you will be a People. If I should be able to be a","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",20,5,207
!<|endoftext|>,"  5:32 The fear of you is to be the greatest, the dread of you is to be the least.  5:33 For the fear of you will be on the earth, and on the sky, and on the birds of the air","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",21,5,207
"!
dansk<|endoftext|>","    The image is from the book ""The Tree of Life"", by William Blake.    I'm sure you know about the image of the tree of life. It's one of the most famous images in the world. It's a symbol","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",22,5,207
"
svenska: De som håller dem i famn och förmanar dem att frukta och bedja gör dem till ett ont anseende genom sin","      And this is the reason why you should fear of me, and I will be afraid of you.      And this is the reason why you should fear of me, and I will be afraid of you.      And this is the","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",23,5,207
"
23-25: Og på den sjette dag kommer der en mand ud og siger til dem: ""Løft de ni bænke op","    Settin' in the place where he is, and hears the sound of the great waters, and the great sound of the waters, and the great sound of the waters, he cometh near unto thee, and he cometh near unto","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",0,10,207
!<|endoftext|>,      10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",1,10,207
"!
Dansk<|endoftext|>","  I love you too, and I love you too.  I love you too.  I love you too.  I love you too.  I love you too.  I love you too.  I love you too.  I love you too","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",2,10,207
"

13. The 2-star Cannella di Roma offers fine accommodation in a shopping area of Roma. -> Dette hotel ligger "," and you shall have no fear to go down upon the earth, but every man that will go down upon the sky, and every man that will go down upon the sea, and every man that will go down upon the earth. And I will send them unto the","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",3,10,207
"«
34:21 Da vil jeg give eder det rige, jeg har givet Abraham, som jeg har givet Isak og Jakob med deres børn",".  You have heard of the fear of you and the dread of you will be upon every animal of the earth, and upon every bird of the sky. everything that the ground moistens with, and all the fish of the sea are delivered into your hand.<|endoftext|>","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",4,10,207
" Dette er det budskab, som HERREN har talt i sin mund.
20 Jeg kender også de tungeste, dem, der bygger pyramider", And everything that the air is full of is delivered into your hand. And everything that the water is full of is delivered into your hand. And everything that the earth is full of is delivered into your hand. And all the land is delivered into your hand. And,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",5,10,207
!<|endoftext|>, 10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  2,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",6,10,207
"
37:33 ""But on the one hand there is fear for you, and terror among you for all the living things of the earth"," Jeg vil aldrig forlade dig, jeg vil aldrig forlade dig, jeg vil aldrig forlade dig.    This is a song written by Dionne Warwick. It is her første single og den er udgivet i 1999.    The song is","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",7,10,207
"
2 Så kom David over Østen til sit folk og slog det, hvis byer var i Juda, i to stykker: den ene var Ajat","  18:12 And when the fear of you and the dread of you are upon every thing on the earth, and on every thing on the sky, and every thing in the air, and every thing in the water, and every thing in the air","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",8,10,207
"
17 And the fear of you, and of you, shall be upon all the wild animals in the world, and on every bird of the",  H.  The fear of the wild animal is more frightful than the fear of the human being. The fear of the wild animal is so frightful that no human being can bear to think of it. The fear of the wild animal is so great that,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",9,10,207
"
Engelsk: ""For I say to you that the fear of you and the fear of you upon the wild animals of the earth, and on all"," For they are your servants, and they are your gods.""  ""Lord, you have said, 'The Lord harms ingen.""  ""Nej, nej, nej!"" råbte han, og han råbte igen.  ""Det er ikke, fordi","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",10,10,207
"
For my soul, my spirit, my soul has cried, ""All nations except one must enter Israel; and they are all the blood of Israel","     A:    Fucking medusa    Du kan ikke dræbe medusa, men du kan dræbe medusabeboere og få dem til at gå i fælden    Fucking medusa er et udtryk for","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",11,10,207
" 116 Og de vil være trætte efter at have set mig op til evig tid og gøre mod dem, som bor på jorden.
","  ""For this is what the Lord God has said to me: 'You shall eat the flesh of the beast, and you shall eat it with your mouth, and you shall not be afraid. You shall not be afraid. But when you eat the flesh of","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",12,10,207
!<|endoftext|>," Men og Mennesker og Mennesker og Dyr, som kommer i din hånd, skal blive forfærdede, men de skal også være i din hånd, når de foragter dig, men når du taler om dem og om alt det, som de frygter for, skal","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",13,10,207
" 20. Og de skal være til glæde for ham, der har ladet dem råde; han skal give jer alt, hvad I ønsker
","    11. Dansk: Er du interesseret i Nimtofte?  Dansk: Er du interesseret i Nimtofte?    12. Dansk: Jeg har aldrig hørt om nogen, der har gjort det.  Dansk: Jeg har aldrig","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",14,10,207
" Jeg er ikke bange for nogen af dem: I skal se til, at det ikke sker.""
2Mos, 14:39","  35,35. 35,36. 35,37. 35,38. 35,39. 35,40. 35,41. 35,","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",15,10,207
"
28 Så skal I tjene os til ejendom, I, Israels hus, over for folkene i ørkenen, og I skal tjene os til",    6.20.16.    10.10.16.    10.10.16.    10.10.16.    10.10.16,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",16,10,207
"« 17 Så sagde Herren Gud, Israels Gud, til Skaren. »Da skal I vide, at jeg er til for eder. Dette","  VIII.  For det er ikke alle, som tror, at I skal komme.  Men det er ikke alle, som tror, at I skal komme.  Det er ikke alle, som tror, at I skal komme.  Men det er ikke","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",17,10,207
"« Dette skriver Jesus til sine disciple, og det står i den gamle testamentliges bog, kapitel 11, vers 8-",  (G 32.15)      H 34.17      H 34.19      H 34.20      H 34.21      ,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",18,10,207
"« »Forbandet være de, der tager dem,« sagde Josemaría; men de gav de unge dyr videre til de mænd, som de",                                                                                                          ,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",19,10,207
!<|endoftext|>," You vil, O Gud, som har skabt verden, skal være dens Gud. Og den skal være din, indtil du skal have, som du ønsker. 32. Og ved denne Tid skal alle, som i min Ø Østen, skal være som de","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",20,10,207
"
sv - 11 Ty i edra hand skall det icke finnas ro eller bävan för eder, utan fruktan för eder och fruktan",  10:11. 11:1. 11:2. 11:3. 11:4. 11:5. 11:6. 11:7. 11:,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",21,10,207
!<|endoftext|>," And the lords of the earth will be on the side of you, and on the side of the nation of Israel, and on the side of the nation of Jacob, and on the side of the nation of Ephesop.""  The God of Israel","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",22,10,207
"«
14:20 Og han satte ham med det samme paa sin høire side, han tillige med den førstefødte søn; han var","  And the dreadful thing will be a kind of triumph.  And you will be the victor.  You will be the lord of all the earth,  and your kingdom will be as great as the greatness of the sun.  But when you have","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",23,10,207
"
11 Now ye fear them, ye have feared for them, you have feared for them. For ye are afraid, and the fear of you",    The sky                                                                                                 ,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",0,15,207
"«
39""Og se, der, da alle de levende blev ført frem, kom også den sidste, og han døde af en storm,",.  (and the wind and the sky and the water)            <|endoftext|>,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",1,15,207
"
15 In these times, the king [Jamal] fled from the sword and he returned with the sword in his hand, against all", and all the fish of the sea will be delivered into your hand. all the fish of the sea will be on every animal of the earth.        It's a day a day is a day    It's day is a day  ,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",2,15,207
