danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" skal I ofre i helgenernes grav. Derpå skal I hellige det syvende mål på den fjerde dag.*
5 Thi alt, hvad der ligger",".    I would also like to point out that the term ""clean"" is often used to describe something that is not clean, for example, a dog that is not clean, or a cat that is not clean.    My only problem with this argument is that it does not actually make sense.    The argument that ""clean"" is often used to describe something that is not clean,","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",23,5,167
", med de store dyr og de små, med dyrene fra rummet og de fjerne land, når der er mørkest.<|endoftext|>",", and makes the ground look dirty.    So, if you want to look for dirty animals, animals that are not clean, birds, and everything that creeps on the ground, and makes the ground look dirty, you will have to get rid of the animals you have. ->  Så hvis du vil se efter snavsede dyr, dyr der ikke er rene, fugle hvordan dyr der er","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",0,10,167
 til syndenes forladelse. Og vi har i dem å gjøre op med de syndige ånders makt og gjøre dem til et billede på Gud,".    The game is also called ""Dreamcatcher"". ->  Leikurinn er einnig kallaður ""Dreamcatcher"".      Á hverju ári, við erum að vinna með 10000-15000 manns. ->  Á hverju ári, við erum að vinna með 10000-15000 manns.  ","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",1,10,167
" men også over dem, der er så smukke, og som må kaldes for livets vand. Jeg tror på en ny himmel og en ny jord med mange",". ->  In the next video, I will show you how to use the tools to clean and destroy animals, animals that are not clean, birds, and everything that creeps on the ground.      7. The property is on the 18th floor, which is an ideal location for a nice dinner or a walk. ->  The property is on the 18th floor","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",2,10,167
" undtagen dem, som har syndet mod Gud. Og ved å gå efter de rene skal også de urene komme dit — ikke fra det ene sted",".    ""Wow, that's pretty cool. Now, I'm gonna go get some food.""    ""No, I'm gonna go get some food.""    ""Wow, that's pretty cool. Now, I'm gonna go get some food.""    ""No, I'm gonna go get some food.""    ""Wow,","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",3,10,167
" og menneskene, og verden.
Svenska: [2] Om den inte är korrekt, så finns ingen uppståndelse i himmlen, ej"," and is not clean.    13. norsk: - Jeg synes det er vanskelig å være i en så vanskelig situasjon.  engelsk: ""I think it's difficult to be in such a difficult situation.    14. norsk: Det er det der med at være på ferie.  engelsk: This is about being on vacation.    15. norsk: Det er ikke","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",4,10,167
" skal ikke kaldes retfærd, som der står i 1. Mosebog, 3. kapitel, hvor han siger: Det rene menneske skal ikke","d, or even plants that are not plants.    I guess I'm just an idiot.<|endoftext|>","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",5,10,167
" så var det vel som om han vilde have sagt: Lad nu alt, hvad du har å gjøre, være rent, alt andet være urent,",".    I'm not sure why you are talking about the animals in the first place, but the animals in the second place.    The animals are the same thing, but the animals are the same thing, but the animals in the first place are the same thing, but the animals in the second place are different.    So the first thing that creep on the ground is the first","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",6,10,167
" så at de onde er til at bortrydde, og den rettroende til at bevare.

English: The first one was in the",".    De er ikke bange for at sige deres mening. ->  Ikke bange for at sige deres mening.    Det er en meget stor udfordring for de fleste af os. ->  Det er en stor udfordring for de fleste.    For at beskytte dig selv og din familie, skal du ikke tage nogen medicin. ->  For at beskytte dig selv og din familie, bør du ikke tage","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",7,10,167
" med alle dine ting, men som ligger i det urene; ikke over de rene men under over det urene. 1 Joh. 5","d."" på Dansk  De fleste mennesker tror, at en hund er en kærlig og kærlig hund, men der er flere spørgsmål, du skal spørge dig selv, før du ved, om en hund er en kærlig og kærlig hund, og om dyr, der ikke er rene, dyr, der ikke er rene, fugle og alt, der kryber på jorden.<|endoftext|>","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",8,10,167
", til synd, og synden skal fordærves på den dag, da Herren kommer, og der skal udgaa pest over landet.<|endoftext|>",".  12. Dansk: Men jeg kan godt lide at være i bevægelse.  Engelsk: I love being in the movement.  13. Dansk: Det er det, der er med til at gøre det sjovt at spille.  Engelsk: That is what makes it fun to play.  14. Dansk: Det er også en af de bedste måder at få venner.  Engelsk:","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",9,10,167
" og den renskulløse plante"". 1 Mos. 15: 12. Men Gud skabte i sit store, fuldkomne billede","."" på norsk:  Disse dyr, mennesker og ting, er alle skadelige for os, og det er derfor, at vi skal blive ved med at blive ved med at finde måder at bekæmpe disse dyr på, fordi vi ikke vil se nogen resultater, der er i stand til at stoppe dem, og fordi vi ikke vil se nogen resultater, der er i stand til at stoppe dyr, der er ikke","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",10,10,167
" skal vorde et levende og et levende vrak i den evige grav."" på engelsk.
15 Now therefore we fear that you, the Gent","d.    Hopefully you have figured it out, and I'm glad I kunne hjælpe.<|endoftext|>","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",11,10,167
" og som har været det hele menneske, som vi kaller syndet mot, og til dem svarer nu dette ord: «Jeg sier eder: synd ikke",". The whole thing is so weird.        So, I decided to go back to the garden. I was hoping to plant a few flowers, but I found that they are not there. I was so sad.        So, I went to the garden and found that there was a flower. And I was so happy.        So, I went back to","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",12,10,167
" som en evig bøn til Gud om, at alt, hvad det er muligt, må gøre fyldest på denne jord; 7, jeg ønsker",", der er ikke nogen dyr, der er ikke noget, der er på jorden, og alt, hvad der er på jorden er der ikke.  Hvis du er allergisk over for katte, skal du tage den med i betragtning. Hvis du ikke er allergisk, skal du læse mere om katte og om katteallergi.  Katte kan være lidt af en udfordring, når det kommer til at få dem til","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",13,10,167
" de levende og de døde, de rene og de urene.
""Herre, i ham blev der liv i menneskenes hjerter, både i",", så er den her en af de vigtigste ting, du bør tænke over.    Engelsk: Men og kvinder har forskellige adfærdsmæssige krav til naturen og til hinanden.  Dansk: Mænd og kvinder har forskellige adfærdskrav til naturen og til hinanden.    Dansk: Det er en stor fordel, at du kan se, hvad der sker i hele verden på en skærm.  Dansk: Det er en","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",14,10,167
" vil ingen av dem bli overmønstret av, før de først er vasket og renset!

3. Engelsk: See, these are",". Det er ikke nok at være en god og dygtig dyrlæge, men også at være en god og dygtig leder.  Vejledning til den gode leder. Lederen er en vigtig del af den gode leder. Lederen skal være den, der skal styre, lede og udvikle virksomheden, så virksomheden kan blive en god arbejdsplads for sine medarbejdere. Det er lederen, der skal være den, der skal","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",15,10,167
" til den yderste ende. 6. Når vi er i besiddelse av de beste gjerder og gjerder mot rovdyr, som er blitt til",", så det er ikke, som de har forestillet sig, at det er.    10. engelsk: The Best Shopping ivaerker, Ivaerker ivaerker, ivaerker ivaerker, ivaerker ivaerker, ivaerker ivaerker, ivaerker ivaerker, ivaerker","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",16,10,167
" og hvad der klumper sig i hulen, så der ikke kan leve nogen tilværelsen."" på engelsk:
But if you think all life is",", og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og, og,","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",17,10,167
", den vilde og de vilde dyr skal alle blive levende i himmelen og den urene, i jorden og i luften.<|endoftext|>",".    Er der en forskel på den måde, vi behandler vores kunder på?    Ja, der er. Vi har et fokus på vores kunder og bruger vores tid på dem. Vi er ikke så meget med i den daglige handel, men vi bruger vores tid på at holde rent.    Kender du en af de virksomheder, der ikke har været med i de sidste 10 år","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",18,10,167
